"Country","Labor force with primary education (% of total) [SL.TLF.PRIM.ZS]","Labor force with secondary education (% of total) [SL.TLF.SECO.ZS]","Labor force with tertiary education (% of total) [SL.TLF.TERT.ZS]","Scientific and technical journal articles [IP.JRN.ARTC.SC]","Trademark applications, total [IP.TMK.TOTL]","General government final consumption expenditure (% of GDP) [NE.CON.GOVT.ZS]","Net official development assistance and official aid received (constant 2012 US$) [DT.ODA.ALLD.KD]","Agriculture, value added (% of GDP) [NV.AGR.TOTL.ZS]","Industry, value added (% of GDP) [NV.IND.TOTL.ZS]","Manufacturing, value added (% of GDP) [NV.IND.MANF.ZS]","Services, etc., value added (% of GDP) [NV.SRV.TETC.ZS]","Unemployment, total (% of total labor force) [SL.UEM.TOTL.ZS]","GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","Previous GDP growth (annual %) [NY.GDP.MKTP.KD.ZG]","Previous GDP per capita, PPP (constant 2011 international $) [NY.GDP.PCAP.PP.KD]","__ProcessingTime__"
ZMB,,,,0.0,0.4,0.14285714285714285,0.25,0.375,0.0,0.3333333333333333,0.0,0.0,0.2857142857142857,0.25,0.375,0.3333333333333333,0.486334169
KOR,0.0,0.0,0.0,0.0,0.75,0.25,0.3333333333333333,0.375,0.625,0.5714285714285714,0.5714285714285714,0.0,0.375,0.0,0.125,0.0,5.000986024
LAC,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.2857142857142857,0.125,0.14285714285714285,0.125,0.5,0.0,0.125,0.0,0.25,0.0,0.61542916
SOM,,,,0.3333333333333333,0.0,0.25,0.2857142857142857,0.2,0.25,0.2,0.5,,0.25,,0.25,,0.394404858
ECS,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.2857142857142857,0.0,1.593472182
VUT,,,,0.2,,0.0,0.0,0.0,0.0,0.0,0.0,,0.2,0.0,0.3333333333333333,0.0,0.42158719
ECU,0.0,0.0,0.0,0.0,0.2,0.125,0.0,0.0,0.42857142857142855,0.0,0.25,0.0,0.125,0.0,0.375,0.25,0.683549708
ALB,0.0,0.0,0.0,0.2,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.2,0.0,0.6,0.0,0.4,0.0,3.412915882
ETH,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.25,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.468767561
MCO,,,,0.0,0.42857142857142855,,,,,,,,0.4,,0.4,,0.188989365
NER,,,,0.0,,0.125,0.25,0.125,0.125,0.14285714285714285,0.375,,0.0,0.3333333333333333,0.16666666666666666,0.2,0.756240731
LAO,,,,0.0,0.6,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.6666666666666666,0.0,4.201938762
VEN,0.0,0.0,0.0,0.0,0.2,0.125,0.5,0.125,0.0,0.42857142857142855,0.16666666666666666,0.0,0.42857142857142855,0.0,0.42857142857142855,0.0,0.674215541
GHA,0.0,0.0,0.0,0.2,0.0,0.375,0.25,0.375,0.14285714285714285,0.25,0.375,0.0,0.125,0.3333333333333333,0.375,0.5,1.860194971
CPV,,,,0.0,,0.0,0.42857142857142855,0.0,0.4,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.25,0.58640473
MDA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.5,0.0,3.93577909
MDG,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.375,0.0,0.2857142857142857,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.990814592
LBN,,,,0.25,0.5,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,2.870574435
LBR,,,,0.0,0.0,0.4,0.625,,,,,0.5,0.375,0.0,0.3333333333333333,0.25,0.355547551
